Day fraction since midnight on 	red dye (mg/L)	Run Pump ()	Pump ()
0.644199338	33.18715286	1	1
0.644210901	33.0924263	1	1
0.644222481	33.25944138	1	1
0.644234053	32.78312302	1	1
0.644245634	31.80201912	1	1
0.644257204	31.83339882	1	1
0.64426879	31.77092361	1	1
0.644280345	31.03197098	1	1
0.644291924	31.06746483	1	1
0.644303506	31.03304672	1	1
0.644315084	31.38458633	1	1
0.644326661	32.1399765	1	1
0.644338236	32.69438553	1	1
0.644349793	32.54644012	1	1
0.644361382	32.13822174	1	1
0.644372948	32.20957184	1	1
0.644384525	32.47952652	1	1
0.644396097	32.74285507	1	1
0.644407663	33.19862747	1	1
0.644419247	33.34741974	1	1
0.644430816	33.54507065	1	1
0.644442398	33.8312645	1	1
0.644453956	33.60844421	1	1
0.644465535	33.54591751	1	1
0.644477109	33.3663826	1	1
0.644488683	33.29692841	1	1
0.644500271	33.29523468	1	1
0.644511825	33.48310089	1	1
0.644523413	34.00391769	1	1
0.644534983	34.14418411	1	1
0.644546555	34.2433815	1	1
0.64455812	33.92984772	1	1
0.6445697	33.77281952	1	1
0.644581277	33.82476425	1	1
0.644592857	33.89809036	1	1
0.64460442	33.55361176	1	1
0.64461599	33.41175842	1	1
0.644627573	33.37269974	1	1
0.644639148	33.52954865	1	1
0.644650712	33.24860001	1	1
0.644662286	33.59671783	1	1
0.64467386	33.93252945	1	1
0.644685445	33.84786987	1	1
0.644697015	33.54323196	1	1
0.644708596	33.71041107	1	1
0.644720167	34.22441864	1	1
0.644731739	34.34110641	1	1
0.644743312	34.50063324	1	1
0.644754885	34.44130707	1	1
0.644766449	34.23840714	1	1
0.644778032	33.95346451	1	1
0.644789606	33.97838593	1	1
0.644801186	33.97454834	1	1
0.644812764	34.04758835	1	1
0.644824332	34.11069489	1	1
0.644835901	33.89289093	1	1
0.644847469	33.67646408	1	1
0.644859059	33.14984512	1	1
0.644870631	33.15188217	1	1
0.644882198	32.97913742	1	1
0.64489377	33.03893662	1	1
0.644905358	32.8819809	1	1
0.644916926	33.04904938	1	1
0.644928501	33.33420944	1	1
0.644940078	33.38475037	1	1
0.644951652	33.34999847	1	1
0.644963224	33.3120079	1	1
0.644974797	33.48270035	1	1
0.644986365	33.71155167	1	1
0.644997942	33.65014648	1	1
0.645009523	33.84590149	1	1
0.64502109	33.98780823	1	1
0.645032654	33.81937027	1	1
0.645044243	33.53985977	1	1
0.645055807	33.36013031	1	1
0.645067393	33.09551239	1	1
0.645078955	32.90630341	1	1
0.645090535	32.9998436	1	1
0.645102094	32.97439194	1	1
0.645113682	32.59241486	1	1
0.645125245	32.65128326	1	1
0.64513682	33.05976105	1	1
0.645148402	33.34729004	1	1
0.645159981	33.55066299	1	1
0.645171549	33.6710968	1	1
0.64518313	33.78982925	1	1
0.645194695	33.63552475	1	1
0.645206265	33.54243851	1	1
0.645217847	33.68681335	1	1
0.645229419	33.49163437	1	1
0.645240992	33.54957962	1	1
0.645252558	33.45320892	1	1
0.645264145	33.37289047	1	1
0.645275721	33.60614014	1	1
0.645287277	33.45241547	1	1
0.645298864	33.30916977	1	1
0.645310436	33.24582672	1	1
0.645322017	33.07498932	1	1
0.645333591	33.00918579	1	1
0.645345167	32.88188171	1	1
0.645356724	32.57550812	1	1
0.645368306	32.65664291	1	1
0.645379875	32.73213577	1	1
0.64539145	32.73890305	1	1
0.645403036	32.98265839	1	1
0.6454146	33.10935974	1	1
0.645426178	33.23682404	1	1
0.645437743	33.19788361	1	1
0.645449314	33.02754211	1	1
0.6454609	33.20199585	1	1
0.645472463	33.06025696	1	1
0.64548405	32.97756195	1	1
0.645495618	32.99393082	1	1
0.645507188	32.62620544	1	1
0.645518773	32.0676651	1	1
0.645530348	31.76304245	1	1
0.645541919	31.72542572	1	1
0.645553481	31.75042534	1	1
0.645565065	31.75985718	1	1
0.645576642	31.67536163	1	1
0.645588207	31.70773506	1	1
0.645599794	31.42255211	1	1
0.645611357	31.26161194	1	1
0.645622926	31.33286476	1	1
0.645634501	31.26750755	1	1
0.645646078	31.21175575	1	1
0.645657647	31.23502731	1	1
0.645669221	31.22661972	1	1
0.645680801	31.33706665	1	1
0.645692371	31.17462921	1	1
0.645703943	31.10021591	1	1
0.645715528	31.15920448	1	1
0.645727108	31.43502617	1	1
0.645738676	31.4169178	1	1
0.645750243	31.32563972	1	1
0.64576182	31.32623863	1	1
0.645773383	31.02974892	1	1
0.645784973	30.96504974	1	1
0.645796531	30.76608086	1	1
0.645808108	30.37047958	1	1
0.64581968	30.36959648	1	1
0.645831255	30.4122448	1	1
0.645842825	30.20403481	1	1
0.6458544	30.19786835	1	1
0.645865994	30.19847679	1	1
0.645877552	30.02717781	1	1
0.645889128	30.1492672	1	1
