Day fraction since midnight on 	red dye (mg/L)	Supply air pressure (Pa)	Run Pump ()	Pump ()
0.594684941	1.830389381	0	1	1
0.594696506	1.830230951	0	1	1
0.594708077	1.830288887	0	1	1
0.594719645	1.83032918	0	1	1
0.594731223	1.830083609	0	1	1
0.594742808	1.83001554	0	1	1
0.594754362	1.829993248	0	1	1
0.594765955	1.829791307	0	1	1
0.594777521	1.829996944	0	1	1
0.594789097	1.829881668	0	1	1
0.594800676	1.829826117	0	1	1
0.594812231	1.829794049	0	1	1
0.594823816	1.829838634	0	1	1
0.594835385	1.829703331	0	1	1
0.594846984	1.829798698	0	1	1
0.594858564	1.829689384	0	1	1
0.594870118	1.829592586	0	1	1
0.594881701	1.829577327	0	1	1
0.594893262	1.829581976	0	1	1
0.59490484	1.829711199	0	1	1
0.594916404	1.82961762	0	1	1
0.594927984	1.829637528	0	1	1
0.594939552	1.829581499	0	1	1
0.594951119	1.829507351	0	1	1
0.594962695	1.829672694	0	1	1
0.59497429	1.829473138	0	1	1
0.594985842	1.829476357	0	1	1
0.594997432	1.8293823	0	1	1
0.595008999	1.829392552	0	1	1
0.595020574	1.829218388	0	1	1
0.595032146	1.829342961	0	1	1
0.595043736	1.829360962	0	1	1
0.59505531	1.829350352	0	1	1
0.595066861	1.829284549	0	1	1
0.595078447	1.829325318	0	1	1
0.595090039	1.82931602	0	1	1
0.595101616	1.829283238	0	1	1
0.595113171	1.829240561	0	1	1
0.595124739	1.829259515	0	1	1
0.595136309	1.829380035	0	1	1
0.595147892	1.829243302	0	1	1
0.595159462	1.829306841	0	1	1
0.595171045	1.829267383	0	1	1
0.595182603	1.829364657	0	1	1
0.595194172	1.829379082	0	1	1
0.59520575	1.829216003	0	1	1
0.595217336	1.829195619	0	1	1
0.595228899	1.829131723	0	1	1
0.595240476	1.829252124	0	1	1
0.595252052	1.82925117	0	1	1
0.595263619	1.829211831	0	1	1
0.5952752	1.829251647	0	1	1
0.595286783	1.82915163	0	1	1
0.595298356	1.829213262	0	1	1
0.59530992	1.829147935	0	1	1
0.595321518	1.829375386	0	1	1
0.595333061	1.829290628	0	1	1
0.595344632	1.829259515	0	1	1
0.595356208	1.82928741	0	1	1
0.595367794	1.829148889	0	1	1
0.595379389	1.829175711	0	1	1
0.595390948	1.829233646	0	1	1
0.595402519	1.829213262	0	1	1
0.595414095	1.829212308	0	1	1
0.59542565	1.829391122	0	1	1
0.595437246	1.829291105	0	1	1
0.595448809	1.82934022	0	1	1
0.595460378	1.82925725	0	1	1
0.595471971	1.829164147	0	1	1
0.595483528	1.829182625	0	1	1
0.595495095	1.829232693	0	1	1
0.595506672	1.829198837	0	1	1
0.595518261	1.829119206	0	1	1
0.59552985	1.829181314	0	1	1
0.595541412	1.829218388	0	1	1
0.595552973	1.829196572	0	1	1
0.595564548	1.829194665	0	1	1
0.595576118	1.829187751	0	1	1
0.595587703	1.829179406	0	1	1
0.595599269	1.829193831	0	1	1
0.59561084	1.829568505	0	1	1
0.595622416	1.829127073	0	1	1
0.595633992	1.829063177	0	1	1
0.595645572	1.82913959	0	1	1
0.595657149	1.829131723	0	1	1
0.595668724	1.829079866	0	1	1
0.5956803	1.829750538	0	1	1
0.595691864	1.829286933	0	1	1
0.595703459	1.829124808	0	1	1
0.595715016	1.829069138	0	1	1
0.595726574	1.829203963	0	1	1
0.595738167	1.82910347	0	1	1
0.595749725	1.829102039	0	1	1
0.595761313	1.829182267	0	1	1
0.595772888	1.829312325	0	1	1
0.595784462	1.829120159	0	1	1
0.595796021	1.830043793	0	1	1
0.595807605	1.829102516	0	1	1
0.595819179	1.904652357	0	1	1
0.595830762	1.829148889	0	1	1
0.595842329	1.829066873	0	1	1
0.59585389	1.829238296	0	1	1
0.595865484	1.82915628	0	1	1
0.595877058	1.829115033	0	1	1
0.595888627	1.82907939	0	1	1
0.595900195	1.829154372	0	1	1
0.595911789	1.829100251	0	1	1
0.595923339	1.829071522	0	1	1
0.595934916	1.829103947	0	1	1
0.595946513	1.829107165	0	1	1
0.595958066	1.8293643	0	1	1
0.595969646	1.829141855	0	1	1
0.59598121	1.829121113	0	1	1
