Day fraction since midnight on 	red dye (mg/L)	Run Pump ()	Pump ()
0.602660599	6.972878933	1	1
0.602672156	7.053892136	1	1
0.602683734	6.988444328	1	1
0.602695314	6.968328476	1	1
0.602706895	7.163712502	1	1
0.602718453	6.95724535	1	1
0.602730032	7.024287701	1	1
0.6027416	6.966041088	1	1
0.602753178	6.996770382	1	1
0.602764754	7.023225308	1	1
0.602776326	6.965135098	1	1
0.602787901	6.953620911	1	1
0.602799484	7.040092945	1	1
0.602811051	7.034333229	1	1
0.60282262	7.101810932	1	1
0.602834198	7.070967674	1	1
0.602845774	7.010404587	1	1
0.602857358	6.983193398	1	1
0.602868924	7.091339111	1	1
0.602880505	7.151823998	1	1
0.602892076	7.15198803	1	1
0.602903644	7.12613821	1	1
0.602915223	7.124406815	1	1
0.602926782	7.14359808	1	1
0.602938366	7.114719391	1	1
0.602949946	7.017697811	1	1
0.602961525	7.127870083	1	1
0.60297308	7.20433569	1	1
0.602984663	7.203866959	1	1
0.60299623	7.172344685	1	1
0.603007813	7.181853294	1	1
0.603019383	7.172852993	1	1
0.603030958	7.146831513	1	1
0.603042524	7.095436096	1	1
0.60305411	7.053812981	1	1
0.603065683	7.146217823	1	1
0.603077258	7.13560009	1	1
0.603088837	7.206511498	1	1
0.603100396	7.027956963	1	1
0.603111972	7.152796269	1	1
0.603123554	7.072302342	1	1
0.603135118	7.103265762	1	1
0.603146704	7.165316582	1	1
0.603158279	7.163160324	1	1
0.603169837	7.24170351	1	1
0.60318143	7.244836807	1	1
0.603192995	7.254796505	1	1
0.603204581	7.296924591	1	1
0.603216133	7.223599911	1	1
0.603227728	7.302588463	1	1
0.603239293	7.364568234	1	1
0.60325087	7.331909657	1	1
0.603262448	7.342596531	1	1
0.603274013	7.180679321	1	1
0.60328558	7.267504215	1	1
0.603297172	7.332803249	1	1
0.603308731	7.242479801	1	1
0.603320309	7.323823929	1	1
0.603331882	7.413470268	1	1
0.603343465	7.248453617	1	1
0.603355034	7.147591591	1	1
0.603366603	7.350802898	1	1
0.603378183	7.276192665	1	1
0.603389762	7.204479694	1	1
0.60340134	7.318484306	1	1
0.603412914	7.320091248	1	1
0.603424487	7.308144569	1	1
0.603436044	7.322286129	1	1
0.603447614	7.394211769	1	1
0.603459197	7.393253326	1	1
0.603470783	7.457793236	1	1
0.603482356	7.493260384	1	1
0.60349393	7.476266861	1	1
0.603505494	7.43451643	1	1
0.603517073	7.434033871	1	1
0.603528644	7.334912777	1	1
0.603540224	7.338636875	1	1
0.603551789	7.477854729	1	1
0.603563365	7.347905636	1	1
0.603574948	7.394255638	1	1
0.603586525	7.435991764	1	1
0.603598085	7.387435436	1	1
0.603609657	7.351342678	1	1
0.603621241	7.384077072	1	1
0.603632816	7.466810226	1	1
0.603644389	7.431166649	1	1
0.603655953	7.426386833	1	1
0.603667521	7.527378082	1	1
0.603679096	7.472880364	1	1
0.603690682	7.565231323	1	1
0.603702265	7.551198959	1	1
0.603713834	7.446491242	1	1
0.603725396	7.535228729	1	1
0.603736978	7.508444309	1	1
0.603748542	7.551408291	1	1
0.60376013	7.451516628	1	1
0.603771708	7.497223854	1	1
0.603783265	7.623937607	1	1
0.603794855	7.507930756	1	1
0.603806428	7.500733376	1	1
0.60381799	7.533832073	1	1
0.603829568	7.572711468	1	1
0.603841146	7.521976948	1	1
0.603852722	7.541007042	1	1
0.60386428	7.589433193	1	1
0.603875861	7.602444172	1	1
0.603887437	7.5172472	1	1
0.603899012	7.651557922	1	1
0.603910579	7.66154623	1	1
0.603922151	7.650587559	1	1
0.603933729	7.629689694	1	1
0.603945306	7.579017162	1	1
0.603956877	7.647357464	1	1
0.603968466	7.507747173	1	1
0.603980021	7.676551819	1	1
0.603991603	7.563676357	1	1
0.604003171	7.557391644	1	1
0.604014759	7.672213554	1	1
0.604026333	7.706140995	1	1
0.6040379	7.502933025	1	1
0.604049482	7.681556702	1	1
0.60406106	7.575733662	1	1
0.604072619	7.819454193	1	1
0.604084208	7.607518673	1	1
0.604095777	7.684556484	1	1
0.604107343	7.629056931	1	1
0.604118925	7.863501072	1	1
0.604130503	7.683675289	1	1
0.604142059	7.710843563	1	1
0.604153645	7.758338928	1	1
0.604165212	7.76559782	1	1
0.604176793	7.765885353	1	1
0.604188354	7.732668877	1	1
0.604199943	7.766051292	1	1
0.604211513	7.6276474	1	1
0.604223097	7.717707634	1	1
0.604234656	7.687368393	1	1
0.604246238	7.776234627	1	1
0.604257815	7.837544918	1	1
0.604269374	7.700146675	1	1
0.604280956	7.74592638	1	1
0.604292534	7.695217133	1	1
0.604304106	7.725184441	1	1
0.604315682	7.766569138	1	1
0.604327246	7.691164494	1	1
0.604338834	7.870352745	1	1
0.604350406	7.641186714	1	1
0.604361965	7.831145763	1	1
0.604373553	7.728877544	1	1
0.604385126	7.707257271	1	1
0.604396707	7.849116325	1	1
0.604408278	7.7999897	1	1
0.604419852	7.792453289	1	1
0.604431425	7.759076119	1	1
0.604443006	7.811593056	1	1
0.604454575	7.828252316	1	1
0.604466152	7.761955261	1	1
0.604477715	7.739305019	1	1
0.604489283	7.83576107	1	1
0.604500875	7.660932541	1	1
0.604512433	7.873796463	1	1
0.604524019	7.799870968	1	1
0.604535594	7.796533585	1	1
0.604547161	7.801796436	1	1
0.604558738	7.881665707	1	1
0.60457032	7.690433979	1	1
0.604581874	7.777061462	1	1
0.604593464	7.872255325	1	1
0.604605025	7.706676483	1	1
0.604616599	7.895056248	1	1
0.60462818	7.852399349	1	1
0.604639754	7.805786133	1	1
0.604651337	7.852743149	1	1
0.604662908	7.87605381	1	1
0.604674476	7.888822079	1	1
0.604686058	7.84444046	1	1
0.604697624	7.933646202	1	1
0.604709209	7.889983654	1	1
0.604720782	7.977692604	1	1
0.60473234	7.850971222	1	1
0.604743931	7.93364954	1	1
0.604755486	7.994803906	1	1
0.604767061	7.936117172	1	1
0.604778645	7.994912624	1	1
0.604790213	8.100738525	1	1
0.604801795	8.026743889	1	1
0.604813362	8.011307716	1	1
0.60482493	8.069335938	1	1
0.604836519	8.011119843	1	1
0.604848093	7.96059227	1	1
0.604859671	8.014760017	1	1
0.604871232	8.07108593	1	1
0.6048828	7.944162846	1	1
0.604894374	7.979372025	1	1
0.60490595	7.936807632	1	1
0.604917532	8.012423515	1	1
0.604929114	8.058681488	1	1
0.604940691	7.962615013	1	1
0.604952246	8.040679932	1	1
0.604963832	8.045456886	1	1
0.604975402	8.101741791	1	1
0.604986972	8.042409897	1	1
0.604998554	8.078812599	1	1
0.605010124	8.040816307	1	1
0.605021692	8.030342102	1	1
0.605033284	7.987217426	1	1
0.60504484	8.076618195	1	1
0.605056423	8.142076492	1	1
